classifier,ngram,log_buckets,num_hashes,optimized_for,best_threshold,f05,precision,recall,f1,accuracy
FeatureHashing,2,20,0,Recall@FPR=0.01,0.43,0.966502,0.975936,0.930522,0.952688,0.943696
FeatureHashing,3,20,0,Recall@FPR=0.001,0.1,0.951391,0.97354,0.872033,0.919995,0.907603
FeatureHashing,1,20,0,AUC,0.85,0.963026,0.971499,0.930562,0.95059,0.941067
FeatureHashing,2,16,0,Recall@Prec=0.99,0.23,0.936895,0.961016,0.851415,0.902902,0.888441
FeatureHashing,1,20,0,Recall@Prec=0.95,0.85,0.963026,0.971499,0.930562,0.95059,0.941067
FeatureHashing,1,20,0,BrierScore,0.85,0.963026,0.971499,0.930562,0.95059,0.941067
CountMin,3,20,5,Recall@FPR=0.01,0.1,0.947825,0.978718,0.841569,0.904977,0.892335
CountMin,2,20,3,Recall@FPR=0.001,0.3,0.970417,0.977721,0.94226,0.959663,0.951744
CountMin,2,20,5,AUC,0.45,0.972107,0.978662,0.946744,0.962439,0.954981
CountMin,2,20,2,Recall@Prec=0.99,0.25,0.968926,0.976937,0.938154,0.957153,0.948831
CountMin,1,20,4,Recall@Prec=0.95,0.85,0.964009,0.972055,0.933114,0.952187,0.942911
CountMin,1,20,5,BrierScore,0.85,0.964003,0.972033,0.933171,0.952205,0.942931
